rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
140,frame_0210.jpg,84.0,0.4459,0.534,0.1429,0.68,4,1,False,False
141,frame_0120.jpg,48.0,0.4446,0.424,0.4286,0.52,5,3,False,False
142,frame_0368.jpg,147.2,0.441,0.6945,0.2857,0.04,9,2,False,False
143,frame_0395.jpg,158.0,0.4407,0.662,0.2857,0.12,6,2,False,False
144,frame_0209.jpg,83.6,0.4394,0.5051,0.1429,0.72,3,1,False,False
145,frame_0367.jpg,146.8,0.4359,0.7541,0.1429,0.08,9,1,False,False
146,frame_0299.jpg,119.6,0.4358,0.4922,0.2857,0.52,9,2,False,False
147,frame_0389.jpg,155.6,0.4358,0.6522,0.2857,0.12,8,2,False,False
148,frame_0222.jpg,88.8,0.4354,0.5336,0.4286,0.2,6,3,False,False
149,frame_0278.jpg,111.2,0.4347,0.6556,0.1429,0.32,9,1,False,False
150,frame_0268.jpg,107.2,0.4328,0.5764,0.4286,0.08,5,3,False,False
151,frame_0096.jpg,38.4,0.4327,0.5602,0.4286,0.12,8,3,False,False
152,frame_0098.jpg,39.2,0.4324,0.6774,0.2857,0.04,8,2,False,False
153,frame_0202.jpg,80.8,0.4308,0.4501,0.2857,0.6,5,2,False,False
154,frame_0375.jpg,150.0,0.4304,0.695,0.1429,0.2,9,1,False,False
155,frame_0188.jpg,75.2,0.4303,0.7589,0.1429,0.04,11,1,False,False
156,frame_0091.jpg,36.4,0.4273,0.4694,0.4286,0.32,5,3,False,False
157,frame_0113.jpg,45.2,0.4237,0.5799,0.2857,0.24,5,2,False,False
158,frame_0014.jpg,5.6,0.4225,0.445,0.0,1.0,5,0,False,False
159,frame_0390.jpg,156.0,0.4209,0.6384,0.2857,0.08,10,2,False,False
160,frame_0304.jpg,121.6,0.4207,0.542,0.2857,0.32,10,2,False,False
161,frame_0017.jpg,6.8,0.4202,0.3547,0.1429,1.0,7,1,False,False
162,frame_0109.jpg,43.6,0.419,0.6346,0.2857,0.08,10,2,False,False
163,frame_0300.jpg,120.0,0.4183,0.3874,0.4286,0.48,8,3,False,False
164,frame_0322.jpg,128.8,0.4141,0.5928,0.2857,0.16,10,2,False,False
165,frame_0026.jpg,10.4,0.4134,0.4269,0.0,1.0,6,0,False,False
166,frame_0382.jpg,152.8,0.4131,0.6227,0.2857,0.08,8,2,False,False
167,frame_0170.jpg,68.0,0.4089,0.6257,0.0,0.48,6,0,False,False
168,frame_0106.jpg,42.4,0.4075,0.7133,0.1429,0.04,8,1,False,False
169,frame_0130.jpg,52.0,0.4042,0.4405,0.0,0.92,4,0,False,False
170,frame_0004.jpg,1.6,0.4014,0.4029,0.0,1.0,6,0,False,False
171,frame_0184.jpg,73.6,0.4012,0.599,0.2857,0.08,6,2,False,False
172,frame_0383.jpg,153.2,0.4003,0.5812,0.2857,0.12,10,2,False,False
173,frame_0082.jpg,32.8,0.3996,0.3558,0.2857,0.68,6,2,False,False
174,frame_0219.jpg,87.6,0.3977,0.4959,0.2857,0.32,7,2,False,False
175,frame_0306.jpg,122.4,0.397,0.4408,0.4286,0.24,8,3,False,False
176,frame_0228.jpg,91.2,0.3966,0.5201,0.4286,0.04,5,3,False,False
177,frame_0394.jpg,157.6,0.396,0.5029,0.4286,0.08,8,3,False,False
178,frame_0083.jpg,33.2,0.3958,0.4499,0.1429,0.64,7,1,False,False
179,frame_0233.jpg,93.2,0.3952,0.523,0.2857,0.24,8,2,False,False
180,frame_0090.jpg,36.0,0.3939,0.4723,0.2857,0.36,9,2,False,False
181,frame_0095.jpg,38.0,0.3898,0.5441,0.2857,0.16,6,2,False,False
182,frame_0195.jpg,78.0,0.3896,0.5655,0.1429,0.32,3,1,False,False
183,frame_0201.jpg,80.4,0.3896,0.3837,0.2857,0.56,4,2,False,False
184,frame_0373.jpg,149.2,0.3873,0.5392,0.2857,0.16,8,2,False,False
185,frame_0330.jpg,132.0,0.3825,0.5776,0.2857,0.04,9,2,False,False
186,frame_0269.jpg,107.6,0.3824,0.5773,0.2857,0.04,10,2,False,False
187,frame_0267.jpg,106.8,0.3818,0.5442,0.2857,0.12,5,2,False,False
188,frame_0174.jpg,69.6,0.3805,0.5472,0.1429,0.32,7,1,False,False
189,frame_0179.jpg,71.6,0.3794,0.5394,0.2857,0.12,7,2,False,False
190,frame_0320.jpg,128.0,0.3772,0.487,0.2857,0.24,7,2,False,False
191,frame_0271.jpg,108.4,0.3753,0.4774,0.4286,0.04,6,3,False,False
192,frame_0196.jpg,78.4,0.375,0.4346,0.2857,0.36,3,2,False,False
193,frame_0323.jpg,129.2,0.3748,0.5302,0.2857,0.12,7,2,False,False
194,frame_0329.jpg,131.6,0.3727,0.542,0.2857,0.08,10,2,False,False
195,frame_0010.jpg,4.0,0.3694,0.3387,0.0,1.0,2,0,False,False
196,frame_0226.jpg,90.4,0.3681,0.5487,0.2857,0.04,6,2,False,False
197,frame_0289.jpg,115.6,0.3678,0.3458,0.1429,0.76,6,1,False,False
198,frame_0232.jpg,92.8,0.363,0.5602,0.1429,0.2,10,1,False,False
199,frame_0192.jpg,76.8,0.3628,0.4742,0.2857,0.2,6,2,False,False
200,frame_0119.jpg,47.6,0.3621,0.4464,0.1429,0.48,6,1,False,False
201,frame_0094.jpg,37.6,0.3598,0.5538,0.1429,0.2,7,1,False,False
202,frame_0303.jpg,121.2,0.3598,0.4899,0.1429,0.36,8,1,False,False
203,frame_0204.jpg,81.6,0.3593,0.3608,0.1429,0.68,3,1,False,False
204,frame_0108.jpg,43.2,0.3587,0.53,0.2857,0.04,9,2,False,False
205,frame_0104.jpg,41.6,0.357,0.4945,0.2857,0.12,8,2,False,False
206,frame_0381.jpg,152.4,0.355,0.5226,0.2857,0.04,8,2,False,False
207,frame_0070.jpg,28.0,0.3547,0.3093,0.0,1.0,7,0,False,False
208,frame_0198.jpg,79.2,0.3527,0.4437,0.1429,0.44,2,1,False,False
209,frame_0190.jpg,76.0,0.3512,0.3972,0.4286,0.12,5,3,False,False
210,frame_0185.jpg,74.0,0.3491,0.5805,0.1429,0.08,8,1,False,False
